1277997321|dfds|hi|220.255.7.201
1277999490|sd|sd|192.49.240.6
1278004385|thiii|sdfdffgg|88.184.36.2
1278006947|d|ddd|59.94.177.248
1278006951|d|ddfg|59.94.177.248
1278007688|George|HIIIIIIIII!|79.99.249.14
1278011855|deneme|dende|85.105.144.55
1278011863|dd|de|85.105.144.55
1278012077|dd|dfz|85.105.144.55
1278012095|ddxcvb|xcbxcb|85.105.144.55
1278012100|ddxcvb|xcv|85.105.144.55
1278022024|dawd|awdawd|80.217.241.105
1278022082|dawd|dwad|80.217.241.105
1328655717|Jeff|Hi guys|::1
1328655771|Jeff|Hi guys|::1
1328656038|Jeff|Hi guys|::1
1328656420|jeff|test|::1
